id,razon_social,referente,telefono,email,direccion,rubro,pagina,tiene_software,nivel_interes,observaciones,relevado_at,fuente
9b9ac04f-9d66-5a67-a53c-e59c4443ff49,AV. DROGUERIA,Ramón Alejandro,,Compras@d.avenida.com,RUTA 12 Y MAIPU,,,SI,Bajo,"Volvi el dia de hoy 27/02 despues de que ayer me dijeron que vuelva y me iban hacer un lugar para atenderme, estando ahi me dicen que estan en reunion y que no me pueden atender, me dejaron el contacto del gerente de compra con su mail y nombre, voy a intentar con medios digitales.",2025-02-27 12:13:02-03,formulario
ad146cdf-e3f0-5850-ada0-40608ee51142,ABRIL DISTRIBUCIONES,MORALES GABRIEL,,,RUTA 12,,,NOSE,Bajo,"Aca me atendieron solo la guardia, me dijeron que no estaba disponible por que no estaba el encargado del area, que vuelva la semana que viene de Marzo. pero deje mi contacto el cual se lo van a pasar a la persona que corresponde.",2025-02-27 12:18:04-03,formulario
be5999c9-0d0b-56f4-abd3-8f7484e0a327,ARCOR ALMARADO,JUAN,,,RUTA 12,,,SI,Medio,"Le comente todos nuestros servicios, quedo en contactar por tema insumo eh impresoras, tambien por servicios, tiene mi tarjeta.",2025-02-27 12:35:08-03,formulario
99ab95b5-3eeb-5447-80a0-48d527a2adb6,DROGUERIA FARMADENK,,,,RUTA 12 FRENTE DISTRIBUIDORA ABRIL,,,NOSE,Bajo,"Me dijeron que no estaba el encargado que me iba a poder atender despues de las 14hs, voy a ir la semana que viene",2025-02-27 12:42:21-03,formulario
5b8e9b16-4074-5d86-99ca-a965c216e184,HUEVO CAMPO,ADMINISTRATIVO,3794652644,,RUTA 12,,,SI,Medio,"Aca aprte de comentarles todos los servicios, mas la charla se centro en tema Tango, me dijo que ellos tienen Tango pero toda la gestion se lo realiza la casa central en Entre Rios, que tienen aca 10 sucursales y no estan teniendo buena respuesta por parte de Tango aca en la region, que seguramente se contacten para ver el tema tango.",2025-02-27 12:55:46-03,formulario
5a7a9488-613d-5628-a701-b635aaad6935,EL CUMPA AGROSERVICIOS,,,,RUTA 12,,,NOSE,Bajo,"Solo habia empleados, me dijeron que le van a pasar mi contacto al dueño que seria mi tarjeta y le van a comentar.",2025-02-27 12:57:46-03,formulario
d885f43e-b2b7-53e8-b195-e43dd102439a,Jumar SA,ADMINISTRATIVOS,3794204976,,,,,NO,Medio,"Aca comente todos nuestros servicios y quedaron en conatctar por tema toner, tienen impresoras laser 107a y brother 1200, les intereso el servicio y quedaron en contactar.",2025-02-27 13:00:07-03,formulario
85419daa-487c-5a9c-a9c3-116b782a107b,Peman semillas,Ing. Diego Parodi,3731404063,dparodi@peman.com.ar,Ruta 12,,,NOSE,Bajo,"En este lugar me presente hable de todos nuestros servicios, habia una solapersona encargada de Logistica en ese lugar fisico, hay una persona a cargo que es el Ingeniero, me comento que todo depende de la casa central en Cordoba, pero que hay cosas como UPS Y demas equipamiento que les puede interesar, quedo mi contacto.",2025-02-27 16:25:56-03,formulario
b3caf6ca-853c-5f0b-80f9-5b740c78dce9,Raosa,,,,Ruta 12,,,SI,Bajo,"Aahi a lado de Peman Semillas esta Raosa, me presente y comente los servicios de la empresa, no estaba el encargado, que deberia volver los dias Martes o Miercoles cuando se encuentre y asi hablar con mas detalles, quedo de todos modos el contacto.",2025-02-27 16:28:15-03,formulario
f266a424-f7cb-587e-a820-f1da5a6f4cea,Disanco,Silva alejandra,3795113010,rrhh.disanco@gmail.com,Ruta 12 y cazadores,,,,Medio,"Aca presente los servicios, quedamos con Alejandra en presentarle una cotizacion de un reloj biometrico, lo cual estoy trabjando en ello.",2025-02-27 16:30:49-03,formulario
2273fa87-8045-5f8a-9a41-eccb2e689068,JULIO VELAZCO,Julio,3794230136,juliovelazcopinturas@gmail.com,Av independencia 3030,,,SI,Bajo,"En este local solo me atendio una empleada, no habia encargado ni gerente, me dijo que ahi es una sucursal y que la administracion se encuentra en resistencia, que va a pasar mi tarjeta a la gente administrativa de resistencia para que se contacten, me compartio su tarjeta voy a mandar mail",2025-03-05 16:48:53-03,formulario
31b40377-5c4f-51ce-adfe-4ce18cfedd00,Distribuidora Jinetes,Empleada cajera,,,Av independencia,,,NOSE,Bajo,"Solo habia una cajera empleada, me dijo que le deje mi contacto para pasarselo a su administracion que se encuentra en resistencia, que se comunicarian.",2025-03-05 16:51:02-03,formulario
9179ef82-7029-5406-9790-c0967a91572e,Arandu pinturas,Marcelo,,,Av Independencia,,,SI,Medio,"Aca me atendio un encargado, quedo muy interesado me dijo que es muy importante todo lo que le mencione de nuestros servicios, le deje mi tarjeta y quedo en contactarse, sobre todo por los insumos y los servicios.",2025-03-05 16:52:54-03,formulario
f70a8ebb-d1ef-59ad-bf4d-efd44765507b,santa ana neumaticos,,,,Av independencia,,,SI,Medio,"Aca me atendio un administrativo, le pedi su tarjeta pero no tenian, le intereso los servicios que le mencione y quedo en contactar",2025-03-05 16:56:19-03,formulario
6d1936a9-a284-56cd-bca2-979fe2556c84,El Galpon SA,GERENTE,,,Av Independencia,,,SI,Medio,"En el galpon me atendio el gerente, le mencione todos los servicios, me dijo que tienen Tango y lo administra la sucursal de resistencia, me todo la tarjeta, no me dio detalles de quien le mantiene el Tango aca en Corrientes solo me dijo una persona, le dije que se conatacte que por ahi llegamos a un mejor precio por si cuando quieran renovar, me dijo que si que es interesante y se contactaran.",2025-03-05 17:02:28-03,formulario
cba7008e-3eb5-589c-a75b-c96f9a948c79,AUTOCENTER SA,maria ojeda vicondo,3794948697,maeugenia@autocentersa.com.ar,av independencia,,,SI,Medio,"Me atendio muy amablemente la señora encargada de administracion,  quedo interesada en todos los servicio que le mencione y prometio contactar, sobre todo por insumo, me dijo que los compra a emergencias informaticas.",2025-03-05 17:05:50-03,formulario
f77edb58-386b-5b0d-b9c1-bfec85b48731,bolsaplast srl,empleado,,,av independencia,,,SI,Bajo,"Aca me dijeron que la administracion se encuentra en resistencia, me pidieron mi contacto le deje la tarjeta que van a pasar el contacto.",2025-03-05 17:07:35-03,formulario
9182ce7c-7689-5c6d-8375-6633225167bc,metz  peugeot,,,,av independencia,,,NOSE,Bajo,"Aca solo me atendi la recepcionista y me dijo que no habia nadie de administracion, que tendria que hablar con el gerente pero estaba de vacaciones, por la tarde depues de las 17hs viene un supervisor.",2025-03-05 17:11:59-03,formulario
8a850205-c1bd-565f-a316-357ac06ce397,distribuidora romy,cajera 1 solo personal,,,av independencia,,,NOSE,Bajo,"Aca solo habia una empleda en la caja, me dijo que no habia nadie en el momento para atenderme, le deje mi contacto que se lo iba a pasar a la administracion.",2025-03-05 17:13:42-03,formulario
bbbfa6fb-8cf5-55c5-a39b-2e12b231a85e,autopartes corrientes,marcelo carigali,3794635369,,av independencia,,,NO,Medio,"Aca me atendio el dueño, le mencione todos nuestros servicios, le intereso, me dijo que el y su socio son los unicos autorizados en la region con autorizacion del poder judicial a vender partes, que pronto habilitara un galpon para desarmar los autos chocados que compra y que neesita llevar un inventario, compartimos contactos y quedamos en charlar",2025-03-05 17:16:51-03,formulario
4f26c8b3-42b3-50db-8e5a-71bb66297f82,AEMAQ SA,,,,,,,NO,Bajo,No me atendio nadie aca. volvere,2025-03-05 17:18:27-03,formulario
93241a1c-f1a3-5715-b840-4a37c0728472,maxi cuera sa,empleado,,,av independencia,,,NOSE,Bajo,"No me atendio nadie, me dijo que si ahi se encuentra la administracion pero que no habia nadie, que debia volver despues de las 12am para ver si podia dar con alguien. Volvi hoy 6/03/2025 me dijo no hay nadie de administracion que no hay un horario en el que esten.",2025-03-05 17:19:43-03,formulario
43f6bec1-b8ff-5ebd-81ec-c2795297b213,IVESS KRUJOSKI,EMPLEADO,,,AV ARMENIA,,,NOSE,Bajo,"Solo pude dar con un empleado administrativo, el cual me dijo que no habia ningun encargado disponible en administracion por encontrarse de vacaciones, pero si me todo mi tarjeta y tiene contacto, tocara volver",2025-03-06 16:24:52-03,formulario
98997363-5d80-5760-97b4-6948602207bf,TEKHOA REPUESTOS,AECRETARIA ADMNITRATIVA,,,AV CENTENARIO,,,NOSE,Bajo,"Me dijo que esperara un minuto pa ver si me podia atender, pero me salio mas tarde conque iba a tardar por que estaba con otra persona, que vuelva mañana a la mañana",2025-03-06 16:34:36-03,formulario
dc6c5a09-cef1-556f-ac91-0088e8b9caeb,AUTO PARTE SOL,DANIEL HOBUS,3755457784,,CALLE LA PRIDA CASI INDEPENDENCIA,,,SI,Medio,"El señor Daniel esta acargo de la sucursal de aca ctes. Le intereso tener repuesta de nuestros servicios ya que el estaba dependiendo de lo que le diga la casa central en posadas, es una galpon enorme, cuenta con impresoras, como 10 computos, rack, hay camaras por todos lados, le comente el datacenter y los servicios que brindamos, ya agendo el whatsap coorporativo y prometio estar en contacto",2025-03-06 16:38:47-03,formulario
d030709b-2170-5917-9231-0d71bd640c56,UPA ROPA AMERICANA,,,,,,,NOSE,Bajo,Debo volver el Martes me dicen que van a atender despues de las 13hs,2025-03-10 16:50:07-03,formulario
35065cbe-d271-57ce-b728-6d19fabc0bbb,LITORAL NEUMATICOS,RIVERO EXEQUIEL,3774490148,litoralneumaticoscorrientes@gmail.com,av 3 de abril,,,SI,Bajo,"En este lugar no esta el señor Rivero, pero me dejaron su contacto ya mande mail ahora queda coordinar un llamado",2025-03-10 16:53:12-03,formulario
20d9a035-466e-5c97-89ce-c5a923bdb63e,DROGUERIA AVENIDA,,,,AV 3 DE ABRIL,,,NOSE,Bajo,"Me atendieron desde el motrador, me dijeron que no me podian atender porque estaban en reunion, pero me pidio la tarjeta y se lo iban a pasar, me queda pegarme una vuelta",2025-03-10 16:54:41-03,formulario
da74779b-1ad4-5602-a339-9928b89860b9,REMAX,PAYE,37954948818,paye@remax.com.ar,av  3 de abril eq rioja,,,NOSE,Bajo,"Aca le intereso los insumos, compartimos tarjeta, ya le escribi al whatsap, queda hacer seguimiento",2025-03-10 17:00:04-03,formulario
c81db36b-9e7f-5b48-8606-f28969c9402b,MIRAFLORES SA,ROXANA,3794662701,gerencia@cabcaacupe.com.ar,av 3 de abril,,,SI,Medio,"Se le comento todos nuestros servicios, me comento que esta queriendo renovar su sistema y me pidio cotizacion de impresora.",2025-03-10 17:02:38-03,formulario
7121b94a-820e-5b9f-9410-30795c2aa998,ELECTRO JUNIN,,3794861227,,AV 3 DE ABRIL,,,SI,Bajo,"No estaba el encargado, pero me dejaron el contacto whatsapp y queda hacer seguimiento",2025-03-10 17:04:24-03,formulario
c799a1b4-5563-5cd4-8010-dda3706eaf9a,VICA NEUMATICOS,NORBERTO,3794735414,vicaneumaticos2@hotmail.com,AV 3 DE ABRIL,,,NOSE,Bajo,"Aca me dejaron el contacto de Norberto, debo llamar para presentar los servicios de todos modos tienen mi tarjeta y mouse pad Llame hoy 27/02 al señor ignacio para concretar una cita y me dijo que no iba a poder por estar ocupado, que lo llama la semana que viene y le envie mensaje antes de ir, de todos modos le dije que agende mi numero del que le llame y le explique brevemente los servicios y me dijo Ok.",2025-03-10 17:14:59-03,formulario
f9051438-bf2e-58ec-9897-e2bbc72750c3,FUSION-CNQ,Cristian Gane,3794942540,cristian98@gmail.com,,,,,,,,base_contactos
3cac41c0-15cc-5c6c-93c5-72d8cdb3e567,LINEAS DE TRANSMISION DEL LITORAL SA S. A.,Rolon,3786 498306,diego.rolon@litsa.com.ar,,Energia,https://www.litsa.com.ar/,,,,,base_contactos
b211aa04-6755-58cf-92b0-6b5ee957e28a,Zodiostyle,Diego Ramírez,3415 52-2776,zodiostyle@gmail.com,,Calzado,https://www.zodiostyle.com.ar/,,,,,base_contactos
824bd706-8750-50e8-b653-6aa2a2f3b68d,Energy Corrientes,Enrique enrique,3794 700341,energycorrientes@hotmail.com,,Electricidad,https://www.instagram.com/energy_ctes/,,,,,base_contactos
134ee777-de76-5fd9-b53d-729eceeea52e,Lucari,,379513041,compras@lucari.com.ar,,Aromatizadores,https://lucari.com.ar/,,,,,base_contactos
4f3269e7-bb5e-5959-b2d8-4596bbcb48f5,inarq,agustin languazco,3794-4496043,agustin@estudioinarq.com,,Arquitectura,https://estudioinarq.com/,,,,,base_contactos
0cd794ff-4a32-57ff-a492-00fdde0915e8,Muebleria el obrero,jorge Filcman,4465465,elobrerocentral@hotmail.com,,Muebleria,,,,,,base_contactos
a194ded8-41b4-5b34-aeb4-f9e433d49642,As De Bastos,jose luis lorenzo,3755 666649,maximilianofernandez@asdebastos.com.ar,,Yerba,https://www.asdebastos.com.ar/,,,,,base_contactos
1113b756-6a96-55b8-a884-ba053d3bb342,Casinos del Litoral,Federico Lencina Malgor,,flencinamalgor@gmail.com,,Casino,https://casinosdellitoral.bet.ar/,,,,,base_contactos
